"rank","Name","Population","pop2010","growth","density","aland_sqmi"
"373","Mosquero","81","92","-0.1196","81","0.9980"
"375","Encino","76","82","-0.0732","38","1.9920"
"374","Chamizal","76","101","-0.2475","172","0.4420"
"376","Taos Ski Valley","75","71","0.0563","26","2.8520"
"377","Veguita","73","232","-0.6853","87","0.8360"
"381","Winston","72","0","","172","0.4190"
"380","San Acacia","72","0","","103","0.6980"
"379","Escudilla Bonita","72","119","-0.3950","6","12.1590"
"378","Coyote","72","128","-0.4375","17","4.1540"
"382","Rodeo","71","101","-0.2970","9","8.1930"
"384","Regina","69","105","-0.3429","9","7.2690"
"383","Pinehill","69","0","","20","3.3750"
"385","Oasis","67","149","-0.5503","32","2.0900"
"388","Puerto de Luna","62","141","-0.5603","4","14.1840"
"387","House","62","68","-0.0882","68","0.9140"
"386","Bent","62","119","-0.4790","10","6.1360"
"389","Moquino","58","0","","25","2.3230"
"390","Mayhill","56","0","","6","9.4980"
"392","Folsom","55","66","-0.1667","84","0.6510"
"391","Bibo","55","140","-0.6071","6","8.9410"
"394","Playas","54","0","","29","1.8640"
"393","Chilili","54","137","-0.6058","54","0.9930"
"395","Los Ojos","52","125","-0.5840","37","1.3920"
"396","North San Ysidro","51","159","-0.6792","22","2.2980"
"397","Lake Roberts Heights","50","0","","66","0.7630"
"399","Faywood","46","0","","87","0.5260"
"398","City of the Sun","46","0","","182","0.2530"
"400","Caballo","45","112","-0.5982","46","0.9820"
"402","Youngsville","44","0","","49","0.8890"
"401","Nara Visa","44","0","","6","7.0530"
"403","Orogrande","41","0","","7","5.6790"
"404","Hachita","38","0","","86","0.4430"
"406","South Acomita Village","37","105","-0.6476","66","0.5600"
"405","Duran","37","0","","8","4.6920"
"407","Anzac Village","36","0","","65","0.5570"
"410","Glenwood","34","143","-0.7622","22","1.5410"
"409","Cundiyo","34","0","","70","0.4880"
"408","Capulin","34","0","","23","1.4840"
"411","Lake Roberts","33","0","","117","0.2830"
"412","Homestead","32","0","","27","1.1710"
"413","Weed","31","0","","3","8.9720"
"416","Middle Frisco","27","0","","50","0.5450"
"415","Luna","27","158","-0.8291","5","5.5590"
"414","Grenville","27","32","-0.1563","71","0.3790"
"418","La Madera","25","154","-0.8377","6","4.4390"
"417","Arrey","25","232","-0.8922","32","0.7900"
"422","Loco Hills","24","126","-0.8095","28","0.8580"
"421","Escondida","24","0","","179","0.1340"
"420","Ensenada","24","107","-0.7757","16","1.4580"
"419","Datil","24","0","","13","1.8700"
"423","Cobre","23","0","","343","0.0670"
"425","Kingston","21","0","","106","0.1990"
"424","Cuartelez","21","469","-0.9552","15","1.3690"
"426","La Joya","14","0","","15","0.9370"
"427","Conchas Dam","13","186","-0.9301","2","8.3250"
"428","San Antonio","11","165","-0.9333","24","0.4520"
"429","Pastura","5","0","","14","0.3480"
"443","Trout Valley","0","0","","0","0.1820"
"442","Sena","0","129","-1","0","2.1260"
"441","San Antonito","0","0","","0","1.7300"
"440","Rivers","0","0","","0","2.2420"
"439","Rancho Grande","0","142","-1","0","0.4230"
"438","Pueblo","0","0","","0","1.8190"
"437","Pinon","0","0","","0","5.1610"
"436","Pecan Park","0","0","","0","0.1070"
"435","Newkirk","0","0","","0","1.0880"
"434","Manzano","0","0","","0","1.6900"
"433","Lower Frisco","0","0","","0","1.0080"
"432","Hot Springs Landing","0","110","-1","0","0.4510"
"431","Golden","0","0","","0","6.7260"
"430","Garfield","0","137","-1","0","0.7770"
